PackageID,Product,MetrcQty,CurrentQty,Supplier,Cost,CostPerItem,Synced,OriginalQuantity,MetrcTag,ExternalID,ActivatedAt,MetrcName
B000009098,Moon Dust Distillate Gummies 100mg - Strawberry 2000mg,,,,$75.00 ,$15.00 ,Yes,5,1A40E01000282FB000009098,10656397,5/16/2024,Moon Dust Distillate Gummies - 2000mg - Strawberry
B000009092,Moon Dust Gummies 100mg Nebula Nibbles - Watermelon,,,,$40.00 ,$8.00 ,Yes,5,1A40E01000282FB000009092,10656642,5/16/2024,Moon Dust Gummies 1000mg - Nebula Nibbles - Watermelon
B000009093,Moon Dust Gummies 100mg Rocket Razz - Blue Raspberry,,,,$40.00 ,$8.00 ,Yes,5,1A40E01000282FB000009093,10656903,5/16/2024,Moon Dust Gummies 1000mg Rocket Razz - Blue Raspberry
B000009096,Batch Moon Dust Distillate Gummies 100mg - Blue Raspberry 2000MG,,,,$75.00 ,$15.00 ,Yes,5,1A40E01000282FB000009096,10656388,5/16/2024,Moon Dust Distillate Gummies - 2000mg - Blue Raspberry
B000009099,Moon Dust Distillate Gummies 100mg - Watermelon 2000mg,,,,$75.00 ,$15.00 ,Yes,5,1A40E01000282FB000009099,10656912,5/16/2024,Moon Dust Distillate Gummies - 2000mg - Watermelon
B000009084,Moon Dust Nanotech Gummies 50mg - Peach,,,,$100.00 ,$10.00 ,Yes,10,1A40E01000282FB000009084,10656458,5/16/2024,Moon Dust Nano Gummies - 1000mg - Peach
B000009091,Moon Dust Gummies 100mg Martian Munch - Sour Apple,,,,$40.00 ,$8.00 ,Yes,5,1A40E01000282FB000009091,10656195,5/16/2024,Moon Dust Gummies 1000mg Martian Munch - Sour Apple
B000009088,Moon Dust Nanotech Gummies 50mg - Watermelon,,,,$100.00 ,$10.00 ,Yes,10,1A40E01000282FB000009088,10656183,5/16/2024,Moon Dust Nano Gummies - 1000mg - Watermelon
B000009097,Moon Dust Distillate Gummies 100mg - Peach 2000mg,,,,$75.00 ,$15.00 ,Yes,5,1A40E01000282FB000009097,10656910,5/16/2024,Moon Dust Distillate Gummies - 2000mg - Peach
B000009094,Moon Dust Gummies 100mg Sweet Starburst - Strawberry,,,,$40.00 ,$8.00 ,Yes,5,1A40E01000282FB000009094,10656489,5/16/2024,Moon Dust Gummies 1000mg Sweet Starburst - Strawberry
